"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 172, f(x) = 474.782, t(x) = 554.95, Yintra = 197.307, Yextra = 752.257, Igx = 172.5"
"x= 173, f(x) = 476.296, t(x) = 554.869, Yintra = 198.861, Yextra = 753.73, Igx = 173.5"
"x= 174, f(x) = 477.795, t(x) = 554.776, Yintra = 200.407, Yextra = 755.182, Igx = 174.5"
"x= 175, f(x) = 479.279, t(x) = 554.669, Yintra = 201.945, Yextra = 756.614, Igx = 175.5"
"x= 176, f(x) = 480.75, t(x) = 554.55, Yintra = 203.475, Yextra = 758.025, Igx = 176.5"
"x= 177, f(x) = 482.205, t(x) = 554.418, Yintra = 204.996, Yextra = 759.414, Igx = 177.5"
"x= 178, f(x) = 483.647, t(x) = 554.274, Yintra = 206.51, Yextra = 760.784, Igx = 178.5"
"x= 179, f(x) = 485.074, t(x) = 554.117, Yintra = 208.015, Yextra = 762.132, Igx = 179.5"
"x= 180, f(x) = 486.486, t(x) = 553.948, Yintra = 209.513, Yextra = 763.46, Igx = 180.5"
"x= 181, f(x) = 487.885, t(x) = 553.766, Yintra = 211.002, Yextra = 764.768, Igx = 181.5"
"x= 182, f(x) = 489.268, t(x) = 553.573, Yintra = 212.482, Yextra = 766.055, Igx = 182.5"
"x= 183, f(x) = 490.638, t(x) = 553.367, Yintra = 213.954, Yextra = 767.321, Igx = 183.5"
"x= 184, f(x) = 491.993, t(x) = 553.149, Yintra = 215.418, Yextra = 768.567, Igx = 184.5"
"x= 185, f(x) = 493.333, t(x) = 552.92, Yintra = 216.873, Yextra = 769.793, Igx = 185.5"
"x= 186, f(x) = 494.659, t(x) = 552.678, Yintra = 218.32, Yextra = 770.999, Igx = 186.5"
"x= 187, f(x) = 495.971, t(x) = 552.425, Yintra = 219.759, Yextra = 772.184, Igx = 187.5"
"x= 188, f(x) = 497.268, t(x) = 552.161, Yintra = 221.188, Yextra = 773.349, Igx = 188.5"
"x= 189, f(x) = 498.551, t(x) = 551.884, Yintra = 222.609, Yextra = 774.493, Igx = 189.5"
"x= 190, f(x) = 499.82, t(x) = 551.596, Yintra = 224.022, Yextra = 775.618, Igx = 190.5"
"x= 191, f(x) = 501.074, t(x) = 551.297, Yintra = 225.425, Yextra = 776.722, Igx = 191.5"
"x= 192, f(x) = 502.314, t(x) = 550.987, Yintra = 226.82, Yextra = 777.807, Igx = 192.5"
