"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 39.5, f(x) = 1.659, t(x) = 1.13884, Yintra = 1.08958, Yextra = 2.22842, Igx = 0.0951257"
"x= 39.75, f(x) = 1.62975, t(x) = 1.11597, Yintra = 1.07176, Yextra = 2.18774, Igx = 0.0901824"
"x= 40, f(x) = 1.6, t(x) = 1.09297, Yintra = 1.05352, Yextra = 2.14648, Igx = 0.0853333"
"x= 40.25, f(x) = 1.56975, t(x) = 1.06982, Yintra = 1.03484, Yextra = 2.10466, Igx = 0.0805843"
"x= 40.5, f(x) = 1.539, t(x) = 1.04654, Yintra = 1.01573, Yextra = 2.06227, Igx = 0.0759407"
"x= 40.75, f(x) = 1.50775, t(x) = 1.02311, Yintra = 0.996193, Yextra = 2.01931, Igx = 0.071408"
"x= 41, f(x) = 1.476, t(x) = 0.999553, Yintra = 0.976224, Yextra = 1.97578, Igx = 0.0669912"
"x= 41.25, f(x) = 1.44375, t(x) = 0.975851, Yintra = 0.955824, Yextra = 1.93168, Igx = 0.0626953"
"x= 41.5, f(x) = 1.411, t(x) = 0.95201, Yintra = 0.934995, Yextra = 1.887, Igx = 0.0585248"
"x= 41.75, f(x) = 1.37775, t(x) = 0.928028, Yintra = 0.913736, Yextra = 1.84176, Igx = 0.0544841"
"x= 42, f(x) = 1.344, t(x) = 0.903905, Yintra = 0.892048, Yextra = 1.79595, Igx = 0.0505774"
"x= 42.25, f(x) = 1.30975, t(x) = 0.879641, Yintra = 0.86993, Yextra = 1.74957, Igx = 0.0468084"
"x= 42.5, f(x) = 1.275, t(x) = 0.855234, Yintra = 0.847383, Yextra = 1.70262, Igx = 0.0431807"
"x= 42.75, f(x) = 1.23975, t(x) = 0.830686, Yintra = 0.824407, Yextra = 1.65509, Igx = 0.0396973"
"x= 43, f(x) = 1.204, t(x) = 0.805994, Yintra = 0.801003, Yextra = 1.607, Igx = 0.0363612"
"x= 43.25, f(x) = 1.16775, t(x) = 0.781159, Yintra = 0.777171, Yextra = 1.55833, Igx = 0.0331748"
"x= 43.5, f(x) = 1.131, t(x) = 0.756178, Yintra = 0.752911, Yextra = 1.50909, Igx = 0.0301402"
"x= 43.75, f(x) = 1.09375, t(x) = 0.731053, Yintra = 0.728224, Yextra = 1.45928, Igx = 0.0272592"
