"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.25"
"x= 49.5, f(x) = 99.99, t(x) = 88.7551, Yintra = 55.6125, Yextra = 144.368, Igx = 49.75"
"x= 50, f(x) = 100, t(x) = 88.2338, Yintra = 55.8831, Yextra = 144.117, Igx = 50.25"
"x= 50.5, f(x) = 99.99, t(x) = 87.7033, Yintra = 56.1384, Yextra = 143.842, Igx = 50.75"
"x= 51, f(x) = 99.96, t(x) = 87.1638, Yintra = 56.3781, Yextra = 143.542, Igx = 51.25"
"x= 51.5, f(x) = 99.91, t(x) = 86.6156, Yintra = 56.6022, Yextra = 143.218, Igx = 51.75"
"x= 52, f(x) = 99.84, t(x) = 86.0586, Yintra = 56.8107, Yextra = 142.869, Igx = 52.25"
"x= 52.5, f(x) = 99.75, t(x) = 85.493, Yintra = 57.0035, Yextra = 142.496, Igx = 52.75"
"x= 53, f(x) = 99.64, t(x) = 84.9189, Yintra = 57.1805, Yextra = 142.099, Igx = 53.25"
"x= 53.5, f(x) = 99.51, t(x) = 84.3365, Yintra = 57.3417, Yextra = 141.678, Igx = 53.75"
"x= 54, f(x) = 99.36, t(x) = 83.7459, Yintra = 57.487, Yextra = 141.233, Igx = 54.25"
"x= 54.5, f(x) = 99.19, t(x) = 83.1472, Yintra = 57.6164, Yextra = 140.764, Igx = 54.75"
"x= 55, f(x) = 99, t(x) = 82.5405, Yintra = 57.7298, Yextra = 140.27, Igx = 55.25"
"x= 55.5, f(x) = 98.79, t(x) = 81.9259, Yintra = 57.8271, Yextra = 139.753, Igx = 55.75"
"x= 56, f(x) = 98.56, t(x) = 81.3035, Yintra = 57.9083, Yextra = 139.212, Igx = 56.25"
"x= 56.5, f(x) = 98.31, t(x) = 80.6734, Yintra = 57.9733, Yextra = 138.647, Igx = 56.75"
"x= 57, f(x) = 98.04, t(x) = 80.0358, Yintra = 58.0221, Yextra = 138.058, Igx = 57.25"
"x= 57.5, f(x) = 97.75, t(x) = 79.3907, Yintra = 58.0547, Yextra = 137.445, Igx = 57.75"
"x= 58, f(x) = 97.44, t(x) = 78.7382, Yintra = 58.0709, Yextra = 136.809, Igx = 58.25"
"x= 58.5, f(x) = 97.11, t(x) = 78.0784, Yintra = 58.0708, Yextra = 136.149, Igx = 58.75"
"x= 59, f(x) = 96.76, t(x) = 77.4114, Yintra = 58.0543, Yextra = 135.466, Igx = 59.25"
"x= 59.5, f(x) = 96.39, t(x) = 76.7373, Yintra = 58.0214, Yextra = 134.759, Igx = 59.75"
"x= 60, f(x) = 96, t(x) = 76.0562, Yintra = 57.9719, Yextra = 134.028, Igx = 60.25"
"x= 60.5, f(x) = 95.59, t(x) = 75.3681, Yintra = 57.906, Yextra = 133.274, Igx = 60.75"
"x= 61, f(x) = 95.16, t(x) = 74.6731, Yintra = 57.8234, Yextra = 132.497, Igx = 61.25"
"x= 61.5, f(x) = 94.71, t(x) = 73.9714, Yintra = 57.7243, Yextra = 131.696, Igx = 61.75"
"x= 62, f(x) = 94.24, t(x) = 73.2629, Yintra = 57.6085, Yextra = 130.871, Igx = 62.25"
"x= 62.5, f(x) = 93.75, t(x) = 72.5478, Yintra = 57.4761, Yextra = 130.024, Igx = 62.75"
"x= 63, f(x) = 93.24, t(x) = 71.8261, Yintra = 57.3269, Yextra = 129.153, Igx = 63.25"
"x= 63.5, f(x) = 92.71, t(x) = 71.0979, Yintra = 57.161, Yextra = 128.259, Igx = 63.75"
"x= 64, f(x) = 92.16, t(x) = 70.3633, Yintra = 56.9783, Yextra = 127.342, Igx = 64.25"
"x= 64.5, f(x) = 91.59, t(x) = 69.6223, Yintra = 56.7789, Yextra = 126.401, Igx = 64.75"
"x= 65, f(x) = 91, t(x) = 68.8749, Yintra = 56.5625, Yextra = 125.437, Igx = 65.25"
"x= 65.5, f(x) = 90.39, t(x) = 68.1213, Yintra = 56.3293, Yextra = 124.451, Igx = 65.75"
"x= 66, f(x) = 89.76, t(x) = 67.3615, Yintra = 56.0793, Yextra = 123.441, Igx = 66.25"
"x= 66.5, f(x) = 89.11, t(x) = 66.5955, Yintra = 55.8122, Yextra = 122.408, Igx = 66.75"
"x= 67, f(x) = 88.44, t(x) = 65.8234, Yintra = 55.5283, Yextra = 121.352, Igx = 67.25"
"x= 67.5, f(x) = 87.75, t(x) = 65.0453, Yintra = 55.2274, Yextra = 120.273, Igx = 67.75"
"x= 68, f(x) = 87.04, t(x) = 64.2611, Yintra = 54.9095, Yextra = 119.171, Igx = 68.25"
"x= 68.5, f(x) = 86.31, t(x) = 63.471, Yintra = 54.5745, Yextra = 118.045, Igx = 68.75"
"x= 69, f(x) = 85.56, t(x) = 62.6749, Yintra = 54.2226, Yextra = 116.897, Igx = 69.25"
"x= 69.5, f(x) = 84.79, t(x) = 61.8729, Yintra = 53.8535, Yextra = 115.726, Igx = 69.75"
"x= 70, f(x) = 84, t(x) = 61.0651, Yintra = 53.4674, Yextra = 114.533, Igx = 70.25"
"x= 70.5, f(x) = 83.19, t(x) = 60.2515, Yintra = 53.0643, Yextra = 113.316, Igx = 70.75"
"x= 71, f(x) = 82.36, t(x) = 59.4321, Yintra = 52.644, Yextra = 112.076, Igx = 71.25"
"x= 71.5, f(x) = 81.51, t(x) = 58.6069, Yintra = 52.2066, Yextra = 110.813, Igx = 71.75"
"x= 72, f(x) = 80.64, t(x) = 57.776, Yintra = 51.752, Yextra = 109.528, Igx = 72.25"
"x= 72.5, f(x) = 79.75, t(x) = 56.9394, Yintra = 51.2803, Yextra = 108.22, Igx = 72.75"
"x= 73, f(x) = 78.84, t(x) = 56.0971, Yintra = 50.7914, Yextra = 106.889, Igx = 73.25"
"x= 73.5, f(x) = 77.91, t(x) = 55.2492, Yintra = 50.2854, Yextra = 105.535, Igx = 73.75"
"x= 74, f(x) = 76.96, t(x) = 54.3957, Yintra = 49.7622, Yextra = 104.158, Igx = 74.25"
"x= 74.5, f(x) = 75.99, t(x) = 53.5365, Yintra = 49.2217, Yextra = 102.758, Igx = 74.75"
