"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 2291.64, f(x) = 0, t(x) = 392.654, Yintra = -196.327, Yextra = 196.327, Igx = 102309000"
"x= 2311.92, f(x) = 0, t(x) = 389.55, Yintra = -194.775, Yextra = 194.775, Igx = 99902600"
"x= 2332.2, f(x) = 0, t(x) = 386.41, Yintra = -193.205, Yextra = 193.205, Igx = 97506300"
"x= 2352.48, f(x) = 0, t(x) = 383.234, Yintra = -191.617, Yextra = 191.617, Igx = 95121800"
"x= 2372.76, f(x) = 0, t(x) = 380.023, Yintra = -190.012, Yextra = 190.012, Igx = 92750600"
"x= 2393.04, f(x) = 0, t(x) = 376.777, Yintra = -188.388, Yextra = 188.388, Igx = 90393800"
"x= 2413.32, f(x) = 0, t(x) = 373.496, Yintra = -186.748, Yextra = 186.748, Igx = 88052900"
"x= 2433.6, f(x) = 0, t(x) = 370.181, Yintra = -185.09, Yextra = 185.09, Igx = 85728900"
"x= 2453.88, f(x) = 0, t(x) = 366.831, Yintra = -183.416, Yextra = 183.416, Igx = 83423100"
"x= 2474.16, f(x) = 0, t(x) = 363.449, Yintra = -181.725, Yextra = 181.725, Igx = 81136700"
"x= 2494.44, f(x) = 0, t(x) = 360.034, Yintra = -180.017, Yextra = 180.017, Igx = 78870700"
"x= 2514.72, f(x) = 0, t(x) = 356.585, Yintra = -178.293, Yextra = 178.293, Igx = 76626200"
"x= 2535, f(x) = 0, t(x) = 353.105, Yintra = -176.552, Yextra = 176.552, Igx = 74404200"
"x= 2555.28, f(x) = 0, t(x) = 349.592, Yintra = -174.796, Yextra = 174.796, Igx = 72205800"
"x= 2575.56, f(x) = 0, t(x) = 346.048, Yintra = -173.024, Yextra = 173.024, Igx = 70031800"
"x= 2595.84, f(x) = 0, t(x) = 342.472, Yintra = -171.236, Yextra = 171.236, Igx = 67883300"
"x= 2616.12, f(x) = 0, t(x) = 338.866, Yintra = -169.433, Yextra = 169.433, Igx = 65761100"
"x= 2636.4, f(x) = 0, t(x) = 335.228, Yintra = -167.614, Yextra = 167.614, Igx = 63666000"
"x= 2656.68, f(x) = 0, t(x) = 331.56, Yintra = -165.78, Yextra = 165.78, Igx = 61599000"
"x= 2676.96, f(x) = 0, t(x) = 327.862, Yintra = -163.931, Yextra = 163.931, Igx = 59560700"
"x= 2697.24, f(x) = 0, t(x) = 324.134, Yintra = -162.067, Yextra = 162.067, Igx = 57551800"
"x= 2717.52, f(x) = 0, t(x) = 320.376, Yintra = -160.188, Yextra = 160.188, Igx = 55573200"
"x= 2737.8, f(x) = 0, t(x) = 316.588, Yintra = -158.294, Yextra = 158.294, Igx = 53625500"
"x= 2758.08, f(x) = 0, t(x) = 312.772, Yintra = -156.386, Yextra = 156.386, Igx = 51709300"
"x= 2778.36, f(x) = 0, t(x) = 308.926, Yintra = -154.463, Yextra = 154.463, Igx = 49825200"
"x= 2798.64, f(x) = 0, t(x) = 305.051, Yintra = -152.526, Yextra = 152.526, Igx = 47973900"
"x= 2818.92, f(x) = 0, t(x) = 301.148, Yintra = -150.574, Yextra = 150.574, Igx = 46155800"
"x= 2839.2, f(x) = 0, t(x) = 297.216, Yintra = -148.608, Yextra = 148.608, Igx = 44371500"
"x= 2859.48, f(x) = 0, t(x) = 293.256, Yintra = -146.628, Yextra = 146.628, Igx = 42621400"
"x= 2879.76, f(x) = 0, t(x) = 289.268, Yintra = -144.634, Yextra = 144.634, Igx = 40906000"
"x= 2900.04, f(x) = 0, t(x) = 285.251, Yintra = -142.626, Yextra = 142.626, Igx = 39225700"
"x= 2920.32, f(x) = 0, t(x) = 281.207, Yintra = -140.604, Yextra = 140.604, Igx = 37580900"
"x= 2940.6, f(x) = 0, t(x) = 277.136, Yintra = -138.568, Yextra = 138.568, Igx = 35971900"
"x= 2960.88, f(x) = 0, t(x) = 273.036, Yintra = -136.518, Yextra = 136.518, Igx = 34399100"
"x= 2981.16, f(x) = 0, t(x) = 268.909, Yintra = -134.455, Yextra = 134.455, Igx = 32862700"
"x= 3001.44, f(x) = 0, t(x) = 264.755, Yintra = -132.377, Yextra = 132.377, Igx = 31363000"
"x= 3021.72, f(x) = 0, t(x) = 260.573, Yintra = -130.286, Yextra = 130.286, Igx = 29900300"
"x= 3042, f(x) = 0, t(x) = 256.364, Yintra = -128.182, Yextra = 128.182, Igx = 28474600"
"x= 3062.28, f(x) = 0, t(x) = 252.128, Yintra = -126.064, Yextra = 126.064, Igx = 27086300"
"x= 3082.56, f(x) = 0, t(x) = 247.865, Yintra = -123.932, Yextra = 123.932, Igx = 25735400"
"x= 3102.84, f(x) = 0, t(x) = 243.574, Yintra = -121.787, Yextra = 121.787, Igx = 24422000"
"x= 3123.12, f(x) = 0, t(x) = 239.257, Yintra = -119.629, Yextra = 119.629, Igx = 23146300"
"x= 3143.4, f(x) = 0, t(x) = 234.913, Yintra = -117.456, Yextra = 117.456, Igx = 21908200"
"x= 3163.68, f(x) = 0, t(x) = 230.542, Yintra = -115.271, Yextra = 115.271, Igx = 20707900"
"x= 3183.96, f(x) = 0, t(x) = 226.144, Yintra = -113.072, Yextra = 113.072, Igx = 19545200"
"x= 3204.24, f(x) = 0, t(x) = 221.718, Yintra = -110.859, Yextra = 110.859, Igx = 18420100"
"x= 3224.52, f(x) = 0, t(x) = 217.266, Yintra = -108.633, Yextra = 108.633, Igx = 17332600"
"x= 3244.8, f(x) = 0, t(x) = 212.787, Yintra = -106.394, Yextra = 106.394, Igx = 16282600"
"x= 3265.08, f(x) = 0, t(x) = 208.281, Yintra = -104.141, Yextra = 104.141, Igx = 15270000"
"x= 3285.36, f(x) = 0, t(x) = 203.748, Yintra = -101.874, Yextra = 101.874, Igx = 14294500"
"x= 3305.64, f(x) = 0, t(x) = 199.188, Yintra = -99.5941, Yextra = 99.5941, Igx = 13356000"
"x= 3325.92, f(x) = 0, t(x) = 194.601, Yintra = -97.3005, Yextra = 97.3005, Igx = 12454400"
"x= 3346.2, f(x) = 0, t(x) = 189.986, Yintra = -94.9932, Yextra = 94.9932, Igx = 11589200"
