"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 68433.5, f(x) = 30515.8, t(x) = 33008.2, Yintra = 14011.7, Yextra = 47019.9, Igx = 2.88864e15"
"x= 69397.3, f(x) = 30912.3, t(x) = 33192.8, Yintra = 14315.9, Yextra = 47508.7, Igx = 2.93739e15"
"x= 70361.2, f(x) = 31307.9, t(x) = 33375.3, Yintra = 14620.2, Yextra = 47995.5, Igx = 2.9861e15"
"x= 71325, f(x) = 31702.5, t(x) = 33555.7, Yintra = 14924.6, Yextra = 48480.3, Igx = 3.03479e15"
"x= 72288.9, f(x) = 32096.2, t(x) = 33734, Yintra = 15229.2, Yextra = 48963.2, Igx = 3.08343e15"
"x= 73252.8, f(x) = 32489, t(x) = 33910.4, Yintra = 15533.8, Yextra = 49444.2, Igx = 3.13203e15"
"x= 74216.6, f(x) = 32880.9, t(x) = 34084.7, Yintra = 15838.5, Yextra = 49923.2, Igx = 3.18059e15"
"x= 75180.5, f(x) = 33271.8, t(x) = 34257.1, Yintra = 16143.3, Yextra = 50400.3, Igx = 3.22909e15"
"x= 76144.3, f(x) = 33661.8, t(x) = 34427.5, Yintra = 16448, Yextra = 50875.6, Igx = 3.27753e15"
"x= 77108.2, f(x) = 34050.9, t(x) = 34596.1, Yintra = 16752.8, Yextra = 51348.9, Igx = 3.32591e15"
"x= 78072, f(x) = 34439.1, t(x) = 34762.8, Yintra = 17057.6, Yextra = 51820.5, Igx = 3.37422e15"
"x= 79035.9, f(x) = 34826.3, t(x) = 34927.7, Yintra = 17362.4, Yextra = 52290.1, Igx = 3.42246e15"
"x= 79999.7, f(x) = 35212.6, t(x) = 35090.8, Yintra = 17667.2, Yextra = 52758, Igx = 3.47063e15"
"x= 80963.6, f(x) = 35598, t(x) = 35252.1, Yintra = 17971.9, Yextra = 53224, Igx = 3.51871e15"
"x= 81927.4, f(x) = 35982.4, t(x) = 35411.7, Yintra = 18276.6, Yextra = 53688.3, Igx = 3.56671e15"
"x= 82891.3, f(x) = 36366, t(x) = 35569.5, Yintra = 18581.2, Yextra = 54150.7, Igx = 3.61462e15"
"x= 83855.1, f(x) = 36748.6, t(x) = 35725.7, Yintra = 18885.8, Yextra = 54611.4, Igx = 3.66244e15"
"x= 84819, f(x) = 37130.3, t(x) = 35880.2, Yintra = 19190.2, Yextra = 55070.4, Igx = 3.71016e15"
"x= 85782.8, f(x) = 37511, t(x) = 36033, Yintra = 19494.5, Yextra = 55527.6, Igx = 3.75778e15"
"x= 86746.7, f(x) = 37890.9, t(x) = 36184.3, Yintra = 19798.7, Yextra = 55983, Igx = 3.8053e15"
"x= 87710.5, f(x) = 38269.8, t(x) = 36333.9, Yintra = 20102.8, Yextra = 56436.7, Igx = 3.85271e15"
"x= 88674.4, f(x) = 38647.8, t(x) = 36482, Yintra = 20406.8, Yextra = 56888.8, Igx = 3.9e15"
"x= 89638.2, f(x) = 39024.8, t(x) = 36628.5, Yintra = 20710.6, Yextra = 57339.1, Igx = 3.94718e15"
"x= 90602.1, f(x) = 39401, t(x) = 36773.5, Yintra = 21014.2, Yextra = 57787.7, Igx = 3.99424e15"
"x= 91565.9, f(x) = 39776.2, t(x) = 36917, Yintra = 21317.7, Yextra = 58234.7, Igx = 4.04118e15"
"x= 92529.8, f(x) = 40150.4, t(x) = 37059, Yintra = 21621, Yextra = 58679.9, Igx = 4.08799e15"
"x= 93493.6, f(x) = 40523.8, t(x) = 37199.5, Yintra = 21924, Yextra = 59123.6, Igx = 4.13467e15"
"x= 94457.5, f(x) = 40896.2, t(x) = 37338.6, Yintra = 22226.9, Yextra = 59565.5, Igx = 4.18122e15"
"x= 95421.4, f(x) = 41267.7, t(x) = 37476.2, Yintra = 22529.6, Yextra = 60005.9, Igx = 4.22763e15"
