"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.125"
"x= 32.5, f(x) = 9.1, t(x) = 6.88749, Yintra = 5.65625, Yextra = 12.5437, Igx = 32.625"
"x= 32.75, f(x) = 9.039, t(x) = 6.81213, Yintra = 5.63293, Yextra = 12.4451, Igx = 32.875"
"x= 33, f(x) = 8.976, t(x) = 6.73615, Yintra = 5.60793, Yextra = 12.3441, Igx = 33.125"
"x= 33.25, f(x) = 8.911, t(x) = 6.65955, Yintra = 5.58122, Yextra = 12.2408, Igx = 33.375"
"x= 33.5, f(x) = 8.844, t(x) = 6.58234, Yintra = 5.55283, Yextra = 12.1352, Igx = 33.625"
"x= 33.75, f(x) = 8.775, t(x) = 6.50453, Yintra = 5.52274, Yextra = 12.0273, Igx = 33.875"
"x= 34, f(x) = 8.704, t(x) = 6.42611, Yintra = 5.49095, Yextra = 11.9171, Igx = 34.125"
"x= 34.25, f(x) = 8.631, t(x) = 6.3471, Yintra = 5.45745, Yextra = 11.8045, Igx = 34.375"
"x= 34.5, f(x) = 8.556, t(x) = 6.26749, Yintra = 5.42226, Yextra = 11.6897, Igx = 34.625"
"x= 34.75, f(x) = 8.479, t(x) = 6.18729, Yintra = 5.38535, Yextra = 11.5726, Igx = 34.875"
"x= 35, f(x) = 8.4, t(x) = 6.10651, Yintra = 5.34674, Yextra = 11.4533, Igx = 35.125"
"x= 35.25, f(x) = 8.319, t(x) = 6.02515, Yintra = 5.30643, Yextra = 11.3316, Igx = 35.375"
"x= 35.5, f(x) = 8.236, t(x) = 5.94321, Yintra = 5.2644, Yextra = 11.2076, Igx = 35.625"
"x= 35.75, f(x) = 8.151, t(x) = 5.86069, Yintra = 5.22065, Yextra = 11.0813, Igx = 35.875"
"x= 36, f(x) = 8.064, t(x) = 5.7776, Yintra = 5.1752, Yextra = 10.9528, Igx = 36.125"
"x= 36.25, f(x) = 7.975, t(x) = 5.69394, Yintra = 5.12803, Yextra = 10.822, Igx = 36.375"
"x= 36.5, f(x) = 7.884, t(x) = 5.60971, Yintra = 5.07914, Yextra = 10.6889, Igx = 36.625"
"x= 36.75, f(x) = 7.791, t(x) = 5.52492, Yintra = 5.02854, Yextra = 10.5535, Igx = 36.875"
"x= 37, f(x) = 7.696, t(x) = 5.43957, Yintra = 4.97622, Yextra = 10.4158, Igx = 37.125"
"x= 37.25, f(x) = 7.599, t(x) = 5.35365, Yintra = 4.92217, Yextra = 10.2758, Igx = 37.375"
"x= 37.5, f(x) = 7.5, t(x) = 5.26718, Yintra = 4.86641, Yextra = 10.1336, Igx = 37.625"
"x= 37.75, f(x) = 7.399, t(x) = 5.18014, Yintra = 4.80893, Yextra = 9.98907, Igx = 37.875"
"x= 38, f(x) = 7.296, t(x) = 5.09255, Yintra = 4.74972, Yextra = 9.84228, Igx = 38.125"
"x= 38.25, f(x) = 7.191, t(x) = 5.00441, Yintra = 4.6888, Yextra = 9.6932, Igx = 38.375"
"x= 38.5, f(x) = 7.084, t(x) = 4.9157, Yintra = 4.62615, Yextra = 9.54185, Igx = 38.625"
"x= 38.75, f(x) = 6.975, t(x) = 4.82645, Yintra = 4.56178, Yextra = 9.38822, Igx = 38.875"
"x= 39, f(x) = 6.864, t(x) = 4.73664, Yintra = 4.49568, Yextra = 9.23232, Igx = 39.125"
"x= 39.25, f(x) = 6.751, t(x) = 4.64628, Yintra = 4.42786, Yextra = 9.07414, Igx = 39.375"
"x= 39.5, f(x) = 6.636, t(x) = 4.55536, Yintra = 4.35832, Yextra = 8.91368, Igx = 39.625"
"x= 39.75, f(x) = 6.519, t(x) = 4.46389, Yintra = 4.28706, Yextra = 8.75094, Igx = 39.875"
"x= 40, f(x) = 6.4, t(x) = 4.37186, Yintra = 4.21407, Yextra = 8.58593, Igx = 40.125"
"x= 40.25, f(x) = 6.279, t(x) = 4.27928, Yintra = 4.13936, Yextra = 8.41864, Igx = 40.375"
